"Feature";"Gain";"i.Gain";"i.Gain.1";"i.Gain.2";"i.Gain.3";"i.Gain.4";"i.Gain.5";"i.Gain.6";"i.Gain.7";"i.Gain.8";"i.Gain.9";"i.Gain.10";"Maxima"
"mv_status04__tend";0,000235329759198446;0,000438253498906246;0,000653735607329242;0,0687503261983271;0,00154571693975578;0,000369112578101051;0,000860252940492714;0,0101970221383054;0,000205426008657488;0,0126577368428119;0,000861479523253716;0,0520820321019309;0,0687503261983271
"mcaja_ahorro";0,127767838036021;0,0723885354798306;0,0689304271871126;0,0479438717255267;0,078889446416295;0,0783795114647298;0,0140538219555355;0,0655888710764713;0,0271665473929142;0,0417262004801895;0,126632242435895;0,0508865748046645;0,127767838036021
"ctrx_quarter";0,0566890958654127;0,0421479692732254;0,0331942844009593;0,0390236715094563;0,0633948000793372;0,0628695704803275;0,00778120286797396;0,0442888025335238;0,0493312662136624;0,0213446083233355;0,0444783734669342;0,0426360635538646;0,0633948000793372
"mv_status06__max";NA;NA;NA;NA;NA;NA;0,00587326613517986;0,000131016880929544;0,000108343181682404;0,00906441733070383;1,2911691152156e-05;0,0303484109191479;0,0303484109191479
"mtarjeta_visa_consumo";0,017713382966378;0,0147567641522629;0,0152716900368955;0,0224257371475523;0,0164655447351181;0,0167907306539582;0,00898064997753566;0,0194666289954312;0,00186779763366995;0,0166869174131302;0,0359176779878379;0,0288343234911955;0,0359176779878379
"mcuentas_saldo";0,0283395002914479;0,0121138760898745;0,0115034263523108;0,0268651254121678;0,0190165307537401;0,0177106932719787;0,0262841559839202;0,019745888612669;0,0410511059572241;0,0178564014741957;0,0199704946335948;0,0257386120294419;0,0410511059572241
"mv_status07__tend";0,0153015490624281;0,000997249119547549;0,000761732501980711;0,00285415237029543;0,000918374900837786;0,00319212506918392;0,000546734761951542;0,000727126777720825;0,0180299779137231;0,00095257453429735;0,00113171497147364;0,0254150490405125;0,0254150490405125
"cliente_antiguedad__tend";0,0221647981688203;0,013088963410563;0,013298023369342;0,0234545114689174;0,0237349980340902;0,0229623943258329;0,0162818977072372;0,0153801834946511;0,0205969360953878;0,0169052987674872;0,0190868089394786;0,0216758001635679;0,0237349980340902
"ctarjeta_visa";0,0319723228177543;0,0210215188670004;0,0101229805318553;9,58050233102199e-05;0,00416314332743104;0,034063917504427;0,00651412734492741;0,0073029873958674;0,0163228975728755;0,00906933422496077;0,0112141464671188;0,0209507999500589;0,034063917504427
"mcuenta_corriente__tend";0,00906504996252575;0,0071358950650247;0,00439147812690184;0,00964673906235213;0,00849166705893639;0,00865640878117809;0,00453674723701217;0,00825307227559646;0,00699556536341632;0,00742085073414026;0,00578026214624687;0,0167031259648793;0,0167031259648793
"cpayroll_trx__min";0,00444346457231967;0,00126296088067497;0,0022764189102908;0,0275642000419049;0,00415029214022143;0,00455688703805372;0,00661422834029273;0,00769040823331929;0,00955595489532299;0,0103162587696033;0,00256287435391016;0,0161748764183571;0,0275642000419049
"mv_status01";0,0319633717501482;0,0207073664741416;0,0186992339795459;0,00547923327136647;0,00308923231485173;0,00244439640700243;0,0209648538318552;0,00919242779391054;0,00222792923074973;0,0164450152055679;0,0114112830192944;0,0159046029568434;0,0319633717501482
"mv_mpagospesos";0,0149166038339446;0,00603420150687774;0,00506238821302614;0,0117878077843412;0,0166578141407197;0,0172862370029571;0,0161826618098813;0,00737762414695707;0,0163156331586434;0,00687028893940448;0,0056811940051691;0,0151648658261151;0,0172862370029571
"mcaja_ahorro__max";0,0038648850401883;0,00349222003173771;0,00292262097150681;0,021598969039225;0,00104689976880452;0,00140618890773389;0,00427376485600646;0,00239697963501552;0,00237730071765205;0,00682120595047511;0,000448129039179539;0,0149477549807176;0,021598969039225
"mv_Finiciomora";0,0228671170986439;0,0136020055392951;0,0101216139374971;0,00610199631566555;0,013691549787978;0,0141887204007651;0,00788717201655886;0,0114802380103588;0,0136788065357907;0,00736712996966584;0,0245891642262557;0,0121434846703589;0,0245891642262557
"mcuenta_corriente";0,01692498027967;0,0121380028606498;0,0114571496764445;0,00766208036326915;0,0120570258210733;0,00972679754125748;0,00353961157000758;0,00760732129215053;0,00408930889028101;0,00948862976674385;0,0139122507392075;0,0118511800587041;0,01692498027967
"cpayroll_trx";0,0173889421185214;0,0110884778506914;0,0109011632285664;0,0123449062926356;0,0240063442410099;0,0238310479615452;0,00288922823440769;0,0142011936691176;0,00681688817180072;0,00815601406340483;0,0097079073648177;0,0108118969905425;0,0240063442410099
"mpayroll";0,0138291703769697;0,00742853953199808;0,00827751895293193;0,00920230122670544;0,00872475074373575;0,00934121602968196;0,00539587661773095;0,0084157381750892;0,00910090766256669;0,00495155988579812;0,0121495847073388;0,00985912819618112;0,0138291703769697
"ctarjeta_visa_transacciones";0,0166761927931877;0,0142769276735465;0,0124866170416599;0,0248635558730533;0,018862913880015;0,0166756985886921;0,00734662724564383;0,0170484409401241;0,00335882331454668;0,0110060280285431;0,0181804995366869;0,00976266057312498;0,0248635558730533
"Visa_mpagospesos";0,00830555119966043;0,00687421937107546;0,00631384169561715;0,00707881076004227;0,000553580876906439;0,000694974717849771;0,00428198796362252;0,00238680293703807;0,0106468877127426;0,00636737488861467;0,00285778697262382;0,00967607589158014;0,0106468877127426
"mpasivos_margen";0,00429564079589778;0,0053462412066066;0,00508233366844572;0,0195449279018849;0,032974346669858;0,0326329495731403;0,00993758038626325;0,00520702252446158;0,00957399600338887;0,00970903933762369;0,0169742974250513;0,00908034283283483;0,032974346669858
"cextraccion_autoservicio";0,000161973061851981;0,00292860794585742;0,00185908334584417;0,00746826291216086;0,000499965376203622;0,000369237162853118;0,00357204660601178;0,000820398848394819;0,00424166609780918;0,00522568546123485;0,00529977974645585;0,00885657685722784;0,00885657685722784
"mvr_mpagospesos";0,00417122053461031;0,0022442301426272;0,00326063289417981;0,0153941295698813;0,000723069863911343;0,000875855170725192;0,0159597637465793;0,00498566374710608;0,0159798185255486;0,00326271260755964;0,00174107223009644;0,00870365812446385;0,0159798185255486
"mprestamos_personales";0,0107818714439254;0,00551142009127721;0,00572210470055302;0,00983376160666846;0,0190928604233969;0,0199873196989725;0,00243226440461805;0,0059427212052776;0,00326619052423943;0,00733002268917443;0,0138568520547862;0,00862341097950504;0,0199873196989725
